common_name	kingdom	phylum	class	order	family	genus	specific_epithet
Common Earthworm	Animalia	Annelida	Clitellata	Haplotaxida	Lumbricidae	Lumbricus	terrestris
Mediterranean Fanworm	Animalia	Annelida	Polychaeta	Sabellida	Sabellidae	Sabella	spallanzanii
Serpula columbiana	Animalia	Annelida	Polychaeta	Sabellida	Serpulidae	Serpula	columbiana
Blue Tube Worm	Animalia	Annelida	Polychaeta	Sabellida	Serpulidae	Spirobranchus	cariniferus
Giant House Spider	Animalia	Arthropoda	Arachnida	Araneae	Agelenidae	Eratigena	duellica
California Turret Spider	Animalia	Arthropoda	Arachnida	Araneae	Antrodiaetidae	Atypoides	riversi
Oak Spider	Animalia	Arthropoda	Arachnida	Araneae	Araneidae	Aculepeira	ceropegia
Gorse Orbweaver	Animalia	Arthropoda	Arachnida	Araneae	Araneidae	Agalenatea	redii
Giant Lichen Orbweaver	Animalia	Arthropoda	Arachnida	Araneae	Araneidae	Araneus	bicentenarius
Cross Orbweaver	Animalia	Arthropoda	Arachnida	Araneae	Araneidae	Araneus	diadematus
Marbled Orb Weaver	Animalia	Arthropoda	Arachnida	Araneae	Araneidae	Araneus	marmoreus
Four-spot Orbweaver	Animalia	Arthropoda	Arachnida	Araneae	Araneidae	Araneus	quadratus
Shamrock Orbweaver	Animalia	Arthropoda	Arachnida	Araneae	Araneidae	Araneus	trifolium
Six-spotted Orbweaver	Animalia	Arthropoda	Arachnida	Araneae	Araneidae	Araniella	displicata
Hawaiian Garden Spider	Animalia	Arthropoda	Arachnida	Araneae	Araneidae	Argiope	appensa
Silver Garden Spider	Animalia	Arthropoda	Arachnida	Araneae	Araneidae	Argiope	argentata
Yellow Garden Spider	Animalia	Arthropoda	Arachnida	Araneae	Araneidae	Argiope	aurantia
Common Garden Orbweb Spinner	Animalia	Arthropoda	Arachnida	Araneae	Araneidae	Argiope	australis
Wasp Spider	Animalia	Arthropoda	Arachnida	Araneae	Araneidae	Argiope	bruennichi
St. Andrew's Cross Spider	Animalia	Arthropoda	Arachnida	Araneae	Araneidae	Argiope	keyserlingi
Lobed Argiope	Animalia	Arthropoda	Arachnida	Araneae	Araneidae	Argiope	lobata
Banded Garden Spider	Animalia	Arthropoda	Arachnida	Araneae	Araneidae	Argiope	trifasciata
Australian Jewel Spider	Animalia	Arthropoda	Arachnida	Araneae	Araneidae	Austracantha	minax
Conical Orbweaver	Animalia	Arthropoda	Arachnida	Araneae	Araneidae	Cyclosa	conica
Humped Trashline Orbweaver	Animalia	Arthropoda	Arachnida	Araneae	Araneidae	Cyclosa	turbinata
Tropical Tent-web Spider	Animalia	Arthropoda	Arachnida	Araneae	Araneidae	Cyrtophora	citricola
Garden Orbweb Spider	Animalia	Arthropoda	Arachnida	Araneae	Araneidae	Eriophora	pustulosa
Tropical Orbweaver Spider	Animalia	Arthropoda	Arachnida	Araneae	Araneidae	Eriophora	ravilla
Spinybacked Orbweaver	Animalia	Arthropoda	Arachnida	Araneae	Araneidae	Gasteracantha	cancriformis
Black-and-white Spiny Spider	Animalia	Arthropoda	Arachnida	Araneae	Araneidae	Gasteracantha	kuhli
Furrow Orbweaver	Animalia	Arthropoda	Arachnida	Araneae	Araneidae	Larinioides	cornutus
Cricket-bat Orbweaver	Animalia	Arthropoda	Arachnida	Araneae	Araneidae	Mangora	acalypha
Tuft-legged Orbweaver	Animalia	Arthropoda	Arachnida	Araneae	Araneidae	Mangora	placida
Basilica Spider	Animalia	Arthropoda	Arachnida	Araneae	Araneidae	Mecynogea	lemniscata
Spined Micrathena	Animalia	Arthropoda	Arachnida	Araneae	Araneidae	Micrathena	gracilis
White Micrathena	Animalia	Arthropoda	Arachnida	Araneae	Araneidae	Micrathena	mitrata
Arrow-shaped Micrathena	Animalia	Arthropoda	Arachnida	Araneae	Araneidae	Micrathena	sagittata
Arabesque Orbweaver	Animalia	Arthropoda	Arachnida	Araneae	Araneidae	Neoscona	arabesca
Hentz's Orbweaver	Animalia	Arthropoda	Arachnida	Araneae	Araneidae	Neoscona	crucifera
Red-femured Spotted Orbweaver	Animalia	Arthropoda	Arachnida	Araneae	Araneidae	Neoscona	domiciliorum
Western Spotted Orbweaver	Animalia	Arthropoda	Arachnida	Araneae	Araneidae	Neoscona	oaxacensis
Giant Golden Orb-weaving Spider	Animalia	Arthropoda	Arachnida	Araneae	Araneidae	Nephila	pilipes
Walnut Orbweaver	Animalia	Arthropoda	Arachnida	Araneae	Araneidae	Nuctenea	umbratica
Asian Spinybacked Orbweaver	Animalia	Arthropoda	Arachnida	Araneae	Araneidae	Thelacantha	brevispina
Jorō Spider	Animalia	Arthropoda	Arachnida	Araneae	Araneidae	Trichonephila	clavata
Golden Silk Spider	Animalia	Arthropoda	Arachnida	Araneae	Araneidae	Trichonephila	clavipes
Edible Golden Silk Spider	Animalia	Arthropoda	Arachnida	Araneae	Araneidae	Trichonephila	edulis
Hairy Golden Orb-weaving Spider	Animalia	Arthropoda	Arachnida	Araneae	Araneidae	Trichonephila	fenestrata
Tiger Spider	Animalia	Arthropoda	Arachnida	Araneae	Araneidae	Trichonephila	plumipes
Arrowhead Orbweaver	Animalia	Arthropoda	Arachnida	Araneae	Araneidae	Verrucosa	arenata
Silver-sided Sector Spider	Animalia	Arthropoda	Arachnida	Araneae	Araneidae	Zygiella	x-notata
Yellow Sac Spider	Animalia	Arthropoda	Arachnida	Araneae	Cheiracanthiidae	Cheiracanthium	mildei
Spotted ground swift	Animalia	Arthropoda	Arachnida	Araneae	Corinnidae	Nyssus	coloripes
Grey House Spider	Animalia	Arthropoda	Arachnida	Araneae	Desidae	Badumna	longinqua
Woodlouse Spider	Animalia	Arthropoda	Arachnida	Araneae	Dysderidae	Dysdera	crocata
Southern House Spider	Animalia	Arthropoda	Arachnida	Araneae	Filistatidae	Kukulcania	hibernalis
Parson Spider	Animalia	Arthropoda	Arachnida	Araneae	Gnaphosidae	Herpyllus	ecclesiasticus
Bowl and Doily Spider	Animalia	Arthropoda	Arachnida	Araneae	Linyphiidae	Frontinella	pyramitela
Filmy Dome Spider	Animalia	Arthropoda	Arachnida	Araneae	Linyphiidae	Neriene	radiata
Radiated Wolf Spider	Animalia	Arthropoda	Arachnida	Araneae	Lycosidae	Hogna	radiata
Rabid Wolf Spider	Animalia	Arthropoda	Arachnida	Araneae	Lycosidae	Rabidosa	rabida
Striped Lynx Spider	Animalia	Arthropoda	Arachnida	Araneae	Oxyopidae	Oxyopes	salticus
Western Lynx Spider	Animalia	Arthropoda	Arachnida	Araneae	Oxyopidae	Oxyopes	scalaris
Green Lynx Spider	Animalia	Arthropoda	Arachnida	Araneae	Oxyopidae	Peucetia	viridans
Marbled Cellar Spider	Animalia	Arthropoda	Arachnida	Araneae	Pholcidae	Holocnemus	pluchei
Skull Spider	Animalia	Arthropoda	Arachnida	Araneae	Pholcidae	Pholcus	phalangioides
Whitebanded Fishing Spider	Animalia	Arthropoda	Arachnida	Araneae	Pisauridae	Dolomedes	albineus
Nurseryweb Spider	Animalia	Arthropoda	Arachnida	Araneae	Pisauridae	Dolomedes	minor
Striped Fishing Spider	Animalia	Arthropoda	Arachnida	Araneae	Pisauridae	Dolomedes	scriptus
